                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.18319,                0.90375,                0.94892,                0.37792,                      1,                 0.6239,                0.62389,                0.09431,                 61.657,                0.14514,              0.0033331,              0.0033331,              0.0033331
                      2,                0.11654,                 0.6589,                 0.8862,                0.37792,                      1,                0.63352,                0.63352,                0.08218,                 61.343,                 0.1216,              0.0065785,              0.0065785,              0.0065785
                      3,                0.10826,                0.65074,                0.88364,                0.37792,                      1,                0.60658,                0.60658,                0.09171,                 62.859,                0.14213,              0.0097358,              0.0097358,              0.0097358
                      4,                0.08851,                0.64001,                0.87795,                0.37792,                      1,                0.58741,                0.58741,                0.09033,                 61.496,                0.14612,               0.009604,               0.009604,               0.009604
                      5,                0.07275,                0.62908,                0.87576,                0.37792,                      1,                 0.5938,                 0.5938,                0.08169,                 55.579,                0.15447,               0.009472,               0.009472,               0.009472
                      6,                0.06542,                0.62386,                0.87361,                0.37792,                      1,                0.58942,                0.58942,                0.08247,                 57.065,                0.15738,                0.00934,                0.00934,                0.00934
                      7,                    inf,                0.62158,                0.87305,                0.37792,                      1,                0.58893,                0.58893,                  0.079,                 55.015,                0.15648,               0.009208,               0.009208,               0.009208
                      8,                0.05797,                0.61939,                0.87249,                0.37792,                      1,                0.58776,                0.58776,                0.07443,                 54.708,                0.15134,               0.009076,               0.009076,               0.009076
                      9,                    inf,                0.61825,                0.87242,                0.37792,                      1,                 0.5875,                 0.5875,                0.06469,                 54.483,                0.14175,               0.008944,               0.008944,               0.008944
                     10,                    inf,                0.61975,                0.87178,                0.37792,                      1,                0.58811,                0.58811,                 0.0615,                 56.181,                0.12932,               0.008812,               0.008812,               0.008812
                     11,                    inf,                0.61712,                0.87141,                0.37792,                      1,                0.58842,                0.58842,                0.06022,                 57.264,                0.11752,                0.00868,                0.00868,                0.00868
                     12,                0.05242,                0.61743,                0.87125,                0.37792,                      1,                0.58795,                0.58795,                0.05728,                 55.584,                0.10688,               0.008548,               0.008548,               0.008548
                     13,                    inf,                0.61528,                 0.8715,                0.37792,                      1,                 0.5934,                 0.5934,                 0.0526,                 57.173,                0.09428,               0.008416,               0.008416,               0.008416
                     14,                0.05056,                0.61576,                 0.8715,                0.37792,                      1,                0.59631,                0.59631,                0.04781,                 54.141,                0.08164,               0.008284,               0.008284,               0.008284
                     15,                    inf,                0.61315,                0.87062,                0.37792,                      1,                0.59004,                0.59004,                 0.0357,                 50.498,                0.06285,               0.008152,               0.008152,               0.008152
                     16,                0.04955,                0.61344,                0.87149,                0.37792,                      1,                0.59663,                0.59663,                0.02779,                 53.519,                0.05313,                0.00802,                0.00802,                0.00802
                     17,                0.04843,                 0.6137,                0.87124,                0.37792,                      1,                0.59472,                0.59472,                0.02465,                  51.41,                0.04669,               0.007888,               0.007888,               0.007888
                     18,                 0.0482,                0.61305,                0.87038,                0.37792,                      1,                 0.5931,                 0.5931,                  0.023,                 53.882,                 0.0422,               0.007756,               0.007756,               0.007756
                     19,                    inf,                0.61255,                0.87041,                0.37792,                      1,                0.60434,                0.60434,                0.02334,                 44.446,                0.03842,               0.007624,               0.007624,               0.007624
                     20,                0.04652,                0.61201,                0.87057,                0.37792,                      1,                0.59457,                0.59457,                0.02409,                 53.309,                 0.0369,               0.007492,               0.007492,               0.007492
                     21,                    inf,                0.61194,                0.87088,                0.37792,                      1,                 0.5836,                 0.5836,                0.02544,                 50.137,                0.03667,                0.00736,                0.00736,                0.00736
                     22,                    inf,                 0.6113,                0.87045,                0.37792,                      1,                0.59872,                0.59872,                0.02225,                 52.834,                0.03427,               0.007228,               0.007228,               0.007228
                     23,                    inf,                0.61037,                0.87046,                0.37792,                      1,                 0.5933,                 0.5933,                0.02143,                 43.543,                0.03302,               0.007096,               0.007096,               0.007096
                     24,                0.04432,                0.60866,                0.86985,                0.37792,                      1,                 0.5829,                 0.5829,                0.02282,                 54.758,                0.03386,               0.006964,               0.006964,               0.006964
                     25,                0.04392,                0.60995,                0.87045,                0.37792,                      1,                0.59791,                0.59791,                0.02042,                 43.394,                 0.0314,               0.006832,               0.006832,               0.006832
                     26,                    inf,                0.60884,                0.87041,                0.37792,                      1,                0.59898,                0.59898,                0.02484,                 55.275,                0.03535,                 0.0067,                 0.0067,                 0.0067
                     27,                    inf,                0.61038,                0.86973,                0.37792,                      1,                0.58948,                0.58948,                0.02588,                 58.411,                0.03641,               0.006568,               0.006568,               0.006568
                     28,                    inf,                0.60694,                0.87023,                0.37792,                      1,                0.59053,                0.59053,                0.02452,                 59.561,                0.03591,               0.006436,               0.006436,               0.006436
                     29,                    inf,                0.60916,                0.86992,                0.37792,                      1,                0.60216,                0.60216,                0.02393,                 60.169,                0.03498,               0.006304,               0.006304,               0.006304
                     30,                    inf,                0.60776,                0.86969,                0.37792,                      1,                0.59702,                0.59702,                0.02229,                 60.804,                0.03257,               0.006172,               0.006172,               0.006172
                     31,                    inf,                0.60682,                0.87023,                0.37792,                      1,                0.59982,                0.59982,                0.02111,                 61.364,                0.03122,                0.00604,                0.00604,                0.00604
                     32,                    inf,                0.60797,                0.86989,                0.37792,                      1,                0.58972,                0.58972,                0.01954,                 61.705,                 0.0287,               0.005908,               0.005908,               0.005908
                     33,                    inf,                0.61086,                0.86978,                0.37792,                      1,                0.58899,                0.58899,                0.03903,                 61.246,                0.05199,               0.005776,               0.005776,               0.005776
                     34,                0.04771,                0.61797,                0.87075,                0.18896,                      1,                0.43693,                0.43693,                0.32089,                 357.11,                 0.4165,               0.005644,               0.005644,               0.005644
                     35,                    inf,                0.61941,                0.87126,                0.02907,                      1,                0.37671,                0.25981,                0.74778,                 1728.9,                 7.5331,               0.005512,               0.005512,               0.005512
                     36,                    inf,                0.62213,                0.87133,                0.02907,                      1,                0.37671,                0.25981,                 2.6306,                 1579.7,                 27.424,                0.00538,                0.00538,                0.00538
                     37,                    inf,                0.61907,                0.87076,                0.02907,                      1,                0.37671,                0.25981,                 2.5628,                 2090.2,                 42.344,               0.005248,               0.005248,               0.005248
                     38,                    inf,                0.64591,                0.87503,                0.02907,                      1,                0.37671,                0.25981,                 2.9138,                 2006.4,                 29.674,               0.005116,               0.005116,               0.005116
                     39,                  0.082,                0.65703,                0.87964,                0.02907,                      1,                0.37671,                0.25981,                  3.237,                 1993.7,                 52.087,               0.004984,               0.004984,               0.004984
                     40,                    inf,                0.64573,                0.87588,                0.02907,                      1,                0.37671,                0.25981,                 2.5561,                 575.96,                 84.148,               0.004852,               0.004852,               0.004852
                     41,                0.08364,                0.65208,                0.87889,                0.02907,                      1,                0.37671,                0.25981,                 2.4855,                 199.35,                 75.159,                0.00472,                0.00472,                0.00472
                     42,                0.07729,                0.64631,                0.87663,                0.02907,                      1,                0.37671,                0.25981,                 2.3032,                 182.64,                 76.946,               0.004588,               0.004588,               0.004588
                     43,                0.07071,                0.64071,                0.87432,                0.02907,                      1,                0.37671,                0.25981,                 2.5835,                 181.64,                 92.692,               0.004456,               0.004456,               0.004456
                     44,                 0.0653,                0.63467,                0.87363,                0.02907,                      1,                0.37671,                0.25981,                 2.1639,                 1255.8,                 35.144,               0.004324,               0.004324,               0.004324
                     45,                    inf,                0.63056,                0.87266,                0.02907,                      1,                0.37671,                0.25981,                 2.2961,                 1364.8,                 29.469,               0.004192,               0.004192,               0.004192
                     46,                0.05613,                0.62775,                0.87195,                0.02907,                      1,                0.37671,                0.25981,                 2.2705,                 3266.3,                 20.108,                0.00406,                0.00406,                0.00406
                     47,                    inf,                0.62683,                0.87135,                0.02907,                      1,                0.37671,                0.25981,                  1e-05,                  26.46,                  1e-05,               0.003928,               0.003928,               0.003928
                     48,                0.05164,                0.62373,                0.87129,                0.02907,                      1,                0.37671,                0.25981,                  1e-05,                      0,                  1e-05,               0.003796,               0.003796,               0.003796
                     49,                0.04921,                0.62098,                0.87088,                0.02907,                      1,                0.37671,                0.25981,                  1e-05,                      0,                  1e-05,               0.003664,               0.003664,               0.003664
                     50,                    inf,                0.61869,                0.87028,                0.02907,                      1,                0.37671,                0.25981,                  1e-05,                      0,                  1e-05,               0.003532,               0.003532,               0.003532
                     51,                    inf,                0.61857,                0.87031,                0.02907,                      1,                0.37671,                0.25981,                  1e-05,                      0,                  1e-05,                 0.0034,                 0.0034,                 0.0034
                     52,                    inf,                0.62182,                0.87016,                0.02907,                      1,                0.37671,                0.25981,                  1e-05,                      0,                  1e-05,               0.003268,               0.003268,               0.003268
                     53,                    inf,                0.62582,                0.86998,                0.02907,                      1,                0.37671,                0.25981,                  1e-05,                0.40612,                  1e-05,               0.003136,               0.003136,               0.003136
                     54,                0.04655,                0.62476,                0.87014,                0.02907,                      1,                0.37671,                0.25981,                0.00309,                 18.989,                0.00448,               0.003004,               0.003004,               0.003004
                     55,                0.04569,                 0.6224,                0.86986,                0.02907,                      1,                0.37671,                0.25981,                0.73738,                 31.311,                0.80836,               0.002872,               0.002872,               0.002872
                     56,                    inf,                0.61982,                0.87008,                0.02907,                      1,                0.37671,                0.25981,                0.59194,                 29.505,                0.64725,                0.00274,                0.00274,                0.00274
                     57,                    inf,                0.61925,                 0.8695,                0.02907,                      1,                0.37671,                0.25981,                0.51282,                 11.476,                0.56068,               0.002608,               0.002608,               0.002608
                     58,                    inf,                0.61902,                0.86964,                0.02907,                      1,                0.37671,                0.25981,                0.54041,                 11.239,                0.59103,               0.002476,               0.002476,               0.002476
                     59,                 0.0408,                0.62046,                0.86913,                0.02907,                      1,                0.37671,                0.25981,                0.58712,                 10.532,                0.64227,               0.002344,               0.002344,               0.002344
                     60,                    inf,                0.62041,                0.86941,                0.02907,                      1,                0.37671,                0.25981,                0.68709,                 13.443,                0.75237,               0.002212,               0.002212,               0.002212
                     61,                0.04055,                0.61682,                0.86963,                0.02907,                      1,                0.37671,                0.25981,                0.68926,                 47.455,                0.75646,                0.00208,                0.00208,                0.00208
                     62,                    inf,                0.61603,                0.86935,                0.02907,                      1,                0.37671,                0.25981,                0.62158,                  48.14,                0.68459,               0.001948,               0.001948,               0.001948
                     63,                    inf,                 0.6166,                0.86909,                0.02907,                      1,                0.37671,                0.25981,                 0.5972,                  45.54,                0.65956,               0.001816,               0.001816,               0.001816
                     64,                    inf,                0.64504,                0.87062,                0.02907,                      1,                0.37671,                0.25981,                 0.6403,                 45.962,                0.70508,               0.001684,               0.001684,               0.001684
                     65,                 0.1598,                0.78708,                0.91247,                0.02907,                      1,                0.37671,                0.25981,                 2.2224,                 52.678,                 7.1155,               0.001552,               0.001552,               0.001552
                     66,                0.07182,                0.68417,                0.86673,                0.02907,                      1,                0.37671,                0.25981,                 2.6247,                 5.1455,                  12.92,                0.00142,                0.00142,                0.00142
                     67,                0.05663,                 0.6521,                 0.8595,                0.02907,                      1,                0.37671,                0.25981,                0.44065,                0.47224,                0.48189,               0.001288,               0.001288,               0.001288
